"","V1","V2","V3","V4","V5"
"1",30,2,3,5,10
"2",146,4,6,0,10
"3",156,8,0,5,13
"4",157,5,4,0,9
"5",160,7,1,0,8
"6",219,8,3,0,11
"7",220,5,6,2,13
"8",221,4,4,0,8
"9",222,10,3,0,13
"10",231,8,5,0,13
"11",232,14,3,7,24
"12",251,3,7,0,10
"13",265,24,20,5,49
"14",266,10,4,0,14
"15",270,55,30,8,93
"16",271,59,31,0,90
"17",272,50,16,11,77
"18",273,68,34,0,102
"19",274,65,23,6,94
"20",275,29,8,6,43
"21",276,35,39,10,84
"22",277,45,31,6,82
"23",278,7,4,2,13
"24",279,100,26,38,164
"25",280,47,20,6,73
"26",281,62,32,8,102
"27",282,45,20,2,67
"28",283,71,30,1,102
"29",284,20,2,4,26
"30",285,12,7,33,52
"31",286,59,12,2,73
"32",288,20,14,0,34
"33",289,13,6,0,19
"34",290,37,44,0,81
"35",291,20,20,0,40
"36",292,23,22,3,48
"37",293,12,7,0,19
"38",294,18,4,0,22
"39",296,22,4,0,26
"40",298,23,1,0,24
"41",299,22,2,0,24
"42",300,7,11,0,18
"43",301,11,7,0,18
"44",302,88,42,1,131
"45",303,11,8,0,19
"46",304,6,9,0,15
"47",305,50,8,12,70
"48",306,23,8,0,31
"49",308,8,14,2,24
"50",309,44,14,16,74
"51",312,35,17,11,63
"52",313,16,5,1,22
"53",314,37,10,1,48
"54",315,23,19,0,42
"55",318,12,18,1,31
"56",319,26,9,0,35
"57",320,14,8,0,22
"58",322,14,8,0,22
"59",323,77,57,6,140
"60",325,38,34,0,72
"61",327,21,3,0,24
"62",328,0,0,11,11
"63",329,23,1,0,24
"64",330,23,1,0,24
"65",333,13,15,0,28
"66",334,16,14,14,44
"67",335,11,13,0,24
"68",337,6,7,0,13
"69",338,18,4,0,22
"70",339,17,5,0,22
"71",340,9,13,0,22
"72",341,3,6,0,9
"73",342,17,10,0,27
"74",343,15,12,0,27
"75",344,19,3,0,22
"76",345,22,1,1,24
"77",346,22,1,1,24
"78",353,0,1,10,11
"79",356,0,2,24,26
"80",361,5,17,8,30
"81",362,4,7,0,11
"82",375,5,6,0,11
"83",397,0,3,6,9
"84",415,6,6,1,13
"85",418,7,1,25,33
"86",423,3,10,0,13
"87",429,84,111,33,228
"88",475,1,0,10,11
"89",489,2,8,0,10
"90",500,29,8,0,37
"91",501,14,10,12,36
"92",502,22,17,0,39
"93",506,53,48,6,107
"94",511,22,16,8,46
"95",516,14,13,0,27
"96",517,18,13,0,31
"97",523,8,5,0,13
"98",524,21,9,0,30
"99",528,14,7,1,22
"100",547,15,11,8,34
"101",548,7,4,0,11
"102",549,7,4,0,11
